archivo,linea,tipo_operacion,gravedad
kool_tpv/base_datos/albaran_service.py,456,other,ALTO
kool_tpv/base_datos/albaran_service.py,467,other,ALTO
kool_tpv/base_datos/niveles_service.py,95,BEGIN,ALTO
kool_tpv/base_datos/niveles_service.py,97,other,ALTO
kool_tpv/base_datos/niveles_service.py,135,BEGIN,ALTO
kool_tpv/base_datos/niveles_service.py,137,other,ALTO
kool_tpv/base_datos/niveles_service.py,176,BEGIN,ALTO
kool_tpv/base_datos/niveles_service.py,178,DELETE,ALTO
kool_tpv/base_datos/migraciones/2026_02_23_clientes_fecha_migration.py,37,PRAGMA,ACEPTABLE
kool_tpv/base_datos/migraciones/2026_02_23_clientes_fecha_migration.py,39,SELECT,ACEPTABLE
kool_tpv/base_datos/migraciones/2026_02_23_clientes_fecha_migration.py,67,SELECT,ACEPTABLE
kool_tpv/base_datos/migraciones/2026_02_23_clientes_fecha_migration.py,72,CREATE TABLE / DDL,ACEPTABLE
kool_tpv/base_datos/migraciones/2026_02_23_clientes_fecha_migration.py,75,PRAGMA/DDL,ACEPTABLE
kool_tpv/base_datos/migraciones/2026_02_23_clientes_fecha_migration.py,82,COPY SQL/other,ACEPTABLE
kool_tpv/base_datos/migraciones/2026_02_23_clientes_fecha_migration.py,86,DROP TABLE,ACEPTABLE
kool_tpv/base_datos/migraciones/2026_02_23_clientes_fecha_migration.py,89,ALTER TABLE,ACEPTABLE
kool_tpv/base_datos/migraciones/2026_02_23_clientes_fecha_migration.py,95,EXECUTE DDL,ACEPTABLE
kool_tpv/base_datos/db_wrapper.py,111,EXECUTE (generic),-
kool_tpv/base_datos/db_wrapper.py,118,BEGIN,-
kool_tpv/base_datos/db_init.py,48,executescript,ACEPTABLE
kool_tpv/base_datos/db_init.py,75,executescript,ACEPTABLE
kool_tpv/base_datos/configuracion_service.py,81,INSERT,ALTO
kool_tpv/base_datos/configuracion_service.py,82,INSERT,ALTO
kool_tpv/base_datos/cierre_service.py,295,BEGIN,ALTO
kool_tpv/base_datos/cierre_service.py,301,SELECT,ALTO
kool_tpv/base_datos/cierre_service.py,355,INSERT/other,ALTO
kool_tpv/base_datos/cierre_service.py,387,INSERT/other,ALTO
kool_tpv/base_datos/cierre_service.py,396,UPDATE,ALTO
kool_tpv/base_datos/cierre_service.py,404,UPDATE,ALTO
kool_tpv/modulos/clientes/clientes_tickets.py,304,SELECT,MEDIO
kool_tpv/modulos/clientes/clientes_tickets.py,338,SELECT,MEDIO
kool_tpv/modulos/clientes/clientes_tickets.py,594,SELECT,MEDIO
kool_tpv/modulos/clientes/services/clientes_tops_service.py,49,SELECT,MEDIO
kool_tpv/modulos/clientes/services/clientes_tops_service.py,147,SELECT,MEDIO
kool_tpv/modulos/clientes/services/clientes_tops_service.py,182,SELECT,MEDIO
kool_tpv/modulos/clientes/services/clientes_tops_service.py,217,SELECT,MEDIO
kool_tpv/modulos/clientes/services/clientes_tops_service.py,250,SELECT,MEDIO
kool_tpv/modulos/clientes/services/clientes_tops_service.py,293,SELECT,MEDIO
kool_tpv/modulos/clientes/services/clientes_tops_service.py,367,SELECT,MEDIO
kool_tpv/modulos/configuracion/config_general_ui.py,277,BEGIN,CRÍTICO
kool_tpv/modulos/configuracion/config_general_ui.py,290,other,CRÍTICO
kool_tpv/modulos/configuracion/config_general_ui.py,298,other,CRÍTICO
kool_tpv/modulos/configuracion/fidelizacion/fidelizacion_tipos_ui.py,227,BEGIN,CRÍTICO
kool_tpv/modulos/configuracion/fidelizacion/fidelizacion_tipos_ui.py,229,other,CRÍTICO
kool_tpv/modulos/configuracion/fidelizacion/fidelizacion_categorias_ui.py,228,BEGIN,CRÍTICO
kool_tpv/modulos/configuracion/fidelizacion/fidelizacion_categorias_ui.py,230,UPDATE,CRÍTICO
kool_tpv/modulos/configuracion/fidelizacion/fidelizacion_productos_ui.py,234,BEGIN,CRÍTICO
kool_tpv/modulos/configuracion/fidelizacion/fidelizacion_productos_ui.py,238,other,CRÍTICO
kool_tpv/modulos/configuracion/fidelizacion/fidelizacion_general_ui.py,106,BEGIN,CRÍTICO
kool_tpv/modulos/configuracion/fidelizacion/fidelizacion_general_ui.py,108,other,CRÍTICO
kool_tpv/modulos/configuracion/impresion/impresora_ui.py,343,BEGIN,CRÍTICO
kool_tpv/modulos/configuracion/impresion/impresora_ui.py,347,other,CRÍTICO
kool_tpv/modulos/configuracion/impresion/impresora_ui.py,354,other,CRÍTICO
kool_tpv/modulos/configuracion/impresion/impresora_ui.py,364,other,CRÍTICO
kool_tpv/modulos/configuracion/impresion/impresora_ui.py,372,other,CRÍTICO
kool_tpv/modulos/configuracion/impresion/impresora_ui.py,384,other,CRÍTICO
kool_tpv/modulos/configuracion/impresion/impresora_ui.py,393,other,CRÍTICO
kool_tpv/modulos/almacen/ui/crear_producto_ui.py,530,SELECT,-
kool_tpv/modulos/almacen/ui/crear_producto_ui.py,540,SELECT,-
kool_tpv/modulos/almacen/ui/crear_producto_ui.py,547,SELECT,-
kool_tpv/modulos/almacen/ui/crear_producto_ui.py,554,SELECT,-
kool_tpv/modulos/almacen/ui/crear_producto_ui.py,685,BEGIN,CRÍTICO
kool_tpv/modulos/almacen/ui/crear_producto_ui.py,689,SELECT,-
kool_tpv/modulos/almacen/ui/crear_producto_ui.py,696,INSERT,CRÍTICO
kool_tpv/modulos/almacen/ui/crear_producto_ui.py,699,UPDATE,CRÍTICO
kool_tpv/modulos/almacen/ui/crear_producto_ui.py,703,UPDATE,CRÍTICO
kool_tpv/modulos/almacen/ui/crear_producto_ui.py,714,INSERT,CRÍTICO
kool_tpv/modulos/configuracion/reset_service.py,27,BEGIN,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,31,other,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,41,other,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,65,BEGIN,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,69,DELETE,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,72,DELETE,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,91,BEGIN,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,93,DELETE,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,112,BEGIN,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,116,DELETE,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,119,DELETE,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,142,BEGIN,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,145,DELETE,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,164,BEGIN,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,168,other,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,175,other,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,201,BEGIN,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,205,other,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,212,other,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,238,BEGIN,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,242,other,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,249,other,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,275,BEGIN,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,279,other,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,286,other,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,312,BEGIN,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,316,DELETE,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,319,DELETE,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,338,BEGIN,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,340,DELETE,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,343,DELETE,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,346,DELETE,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,349,DELETE,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,354,INSERT,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,355,INSERT,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,357,INSERT,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,358,INSERT,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,360,INSERT,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,361,INSERT,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,363,INSERT,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,364,INSERT,ACEPTABLE
kool_tpv/modulos/configuracion/reset_service.py,368,other,ACEPTABLE
kool_tpv/modulos/configuracion/impresora_ui.py,343,BEGIN,CRÍTICO
kool_tpv/modulos/configuracion/impresora_ui.py,347,other,CRÍTICO
kool_tpv/modulos/configuracion/impresora_ui.py,354,other,CRÍTICO
kool_tpv/modulos/configuracion/impresora_ui.py,364,other,CRÍTICO
kool_tpv/modulos/configuracion/impresora_ui.py,372,other,CRÍTICO
kool_tpv/modulos/configuracion/impresora_ui.py,384,other,CRÍTICO
kool_tpv/modulos/configuracion/impresora_ui.py,393,other,CRÍTICO
